"통계분류(1)",통계분류(2),2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"통계분류(1)",통계분류(2),계,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,역사 지리,가정육아요리,시소설수필,무협판타지추리소설,예술문화,재테크부동산,어학컴퓨터,과학 기술,기 타,사례수,계,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,소설( 장르 소설 포함),역사 지리,가정육아요리,예술문화,재테크부동산,어학컴퓨터,문학도서,사례수,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,소설( 장르 소설 포함),역사 지리,가정육아요리,예술문화,문학도서,사례수,계,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,소설( 장르 소설 포함),어학 외국어,역사 지리,가정육아요리,예술문화,재테크부동산,문학도서,사례수,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,소설( 장르 소설 포함),가정육아요리,문학도서,사례수,취미오락여행건강,경제 경영,수필,철학 사상 종교,시(동시),재테크,자기계발서,정치사회시사,소설( 장르 소설 포함),어학 외국어,역사 지리,가정육아요리,사례수,소설(동화 장르소설),취미오락여행건강,경제 경영,수필,철학 사상 종교,시(동시),재테크,자기계발서,과학기술컴퓨터,정치사회시사,기 타
"월평균가구소득",200만원 미만,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,11.8,22.2,7,0,11.1,12,4.4,4.4,0,14.4,12.7
"월평균가구소득",200~300만원 미만,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118,20.2,12.7,7.9,11,15.3,6,5.8,2.7,3.3,3.2,11.9
"월평균가구소득",300~400만원 미만,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,281,19.5,11.8,10,7.7,12.6,8.1,5.2,6.3,3.4,3.5,11.7
"월평균가구소득",400~500만원 미만,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,357,27.2,11.6,8.5,8.3,7.6,8.1,4.4,7.2,3.1,3,10.9
"월평균가구소득",500만원 이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,828,39.5,8.3,11.1,7.9,5.1,5.1,6,4.4,3.3,2.4,7
"월평균가구소득",100만원 미만,100,21.7,2.1,24.1,8.4,5.4,1.8,0.9,23.9,4.8,3,4,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균가구소득",100~200만원,100,25.1,4.9,10,5.7,4.9,3.4,9.3,19.9,4.9,7,3.6,0.4,0.6,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균가구소득",200~300만원,100,19.7,5.4,9.7,7.1,4.9,2.2,6.7,26.4,6.5,3.7,4.6,1.5,1.1,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균가구소득",300~400만원,100,17.3,6.8,8.1,8.2,5.9,1.9,5.9,27.1,9.8,2.7,3.5,2,0.8,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균가구소득",400만원 이상,100,18.4,5.1,7,7.4,7,3.6,4.4,26.8,10.7,3.9,3.6,1.2,0.8,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
