순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
237,국내도서,네 기분은 어떤 색깔이니?,308668572 ,9791158363925 ,77810,최숙희 지음,책읽는곰,20230109,"14,000","12,600",700점,12444,유아
238,국내도서,다이어트 사이언스 2022,292526722 ,9791197834202 ,,최겸 지음,린체인저스,20220323,"22,000","19,800","1,100점",8956,건강/취미
239,국내도서,끝내주는 인생,319813626 ,9791198278227 ,3810,"이슬아 지음, 이훤 사진",디플롯,20230703,"17,800","16,020",890점,7826,에세이
240,국내도서,최애의 아이 4,313832245 ,9791169796613 ,,"아카사카 아카 지음, 요코야리 멘고 그림",대원씨아이(만화),20210915,"6,000","5,400",300점,4944,만화
241,국내도서,월급쟁이 부자로 은퇴하라 (10만 부 돌파 기념 증보판),296379470 ,9788925578156 ,3320,너나위 지음,알에이치코리아(RHK),20220620,"19,800","17,820",990점,23851,경제경영
242,국내도서,설민석의 한국사 대모험 25,317503989 ,9791193031025 ,74910,"설민석.스토리박스 지음, 정현희 그림, 강석화 감수",단꿈아이,20230529,"13,000","11,700",650점,5317,어린이
243,국내도서,보도 섀퍼의 돈,410811 ,9788919205013 ,3320,"보도 섀퍼 지음, 이병서 옮김",에포케,20110517,"16,700","15,030",830점,43452,경제경영
244,국내도서,고요한 우연,311138056 ,9788954691154 ,3810,김수빈 지음,문학동네,20230220,"12,500","11,250",620점,22314,청소년
245,국내도서,에그박사 10,319301016 ,9791168415539 ,77490,"에그박사 지음, 홍종현 그림, 박송이 글, 주세종 감수",미래엔아이세움,20230629,"14,500","13,050",720점,6627,어린이
246,국내도서,이적의 단어들,317286716 ,9788934978831 ,3810,이적 지음,김영사,20230525,"14,800","13,320",740점,4374,에세이
247,국내도서,일본어 문법 무작정 따라하기,309638760 ,9791140702978 ,3730,후지이 아사리 지음,길벗이지톡,20230214,"26,000","23,400","1,300점",37000,외국어
248,국내도서,네 안에 잠든 거인을 깨워라 (30주년 기념판),323596969 ,9791166836251 ,3320,"토니 로빈스 지음, 홍석윤 옮김",넥서스BIZ,20230915,"35,000","31,500","1,750점",13410,자기계발
249,국내도서,미움받을 용기 (200만 부 기념 스페셜 에디션),307825504 ,9791168340770 ,3180,"기시미 이치로 외 지음, 전경아 옮김, 김정운 감수",인플루엔셜(주),20221228,"15,900","14,310",790점,26195,인문학
250,국내도서,스파이 패밀리 11,321351667 ,9791141109394 ,,엔도 타츠야 지음,학산문화사(만화),20230726,"6,000","5,400",300점,7895,만화
251,국내도서,책으로 가는 문,324228036 ,9788988964637 ,3830,"미야자키 하야오 지음, 서혜영 옮김",다우출판사,20231012,"16,800","15,120",840점,4870,에세이
252,국내도서,이처럼 사소한 것들,329386807 ,9791130646381 ,3840,"클레어 키건 지음, 홍한별 옮김",다산책방,20231127,"13,800","12,420",690점,204404,소설/시/희곡
253,국내도서,싯다르타,329596 ,9788937460586 ,4850,"헤르만 헤세 지음, 박병덕 옮김",민음사,20020120,"8,000","7,200",400점,70932,소설/시/희곡
254,국내도서,"칵테일, 러브, 좀비 (리커버)",295437240 ,9791190174756 ,3810,조예은 지음,안전가옥,20200413,"13,000","11,700",650점,30434,소설/시/희곡
255,국내도서,나는 어떻게 삶의 해답을 찾는가,318849351 ,9791189686826 ,3320,고명환 지음,라곰,20230615,"17,800","16,020",890점,13290,자기계발
256,국내도서,파견자들,325912999 ,9791191587524 ,3810,김초엽 지음,퍼블리온,20231013,"19,000","17,100",950점,13445,소설/시/희곡
257,국내도서,작가는 어떻게 읽는가,285827594 ,9791167740892 ,3800,"조지 손더스 지음, 정영목 옮김",어크로스,20230208,"26,000","23,400","1,300점",6355,인문학
258,국내도서,에그박사 9,313642852 ,9791168415157 ,77490,"에그박사 지음, 홍종현 그림, 박송이 글, 이승현 감수",미래엔아이세움,20230328,"14,500","13,050",720점,5758,어린이
259,국내도서,이지성의 1만 킬로미터,314897553 ,9791191360721 ,3810,이지성 지음,차이정원,20230420,"18,000","16,200",900점,6303,에세이
260,국내도서,조선 미술관,311327641 ,9788968334177 ,3600,탁현규 지음,블랙피쉬,20230222,"16,800","15,120",840점,5141,예술/대중문화
261,국내도서,내가 한 말을 내가 오해하지 않기로 함,330384053 ,9791189352745 ,3810,문상훈 지음,위너스북,20240105,"19,800","17,820",990점,70559,에세이
262,국내도서,흔한남매의 흔한 호기심 8,308819633 ,9791168414822 ,77400,"안치현 지음, 유난희 그림, 이정모 외 감수, 흔한남매 원작",미래엔아이세움,20230119,"14,000","12,600",700점,5250,어린이
