title,isbn,writer,publisher,Pub_date,re_price,sa_price,genre
꽃을 보듯 너를 본다,9791157280292.0,나태주 지음,지혜,20150620.0,"13,000","11,700",소설/시/희곡
참을 수 없는 존재의 가벼움 (리커버),9788937437564.0,"밀란 쿤데라 지음, 이재룡 옮김",민음사,20180620.0,"17,000","15,300",소설/시/희곡
"책문, 이 시대가 묻는다",9791195124480.0,김태완 지음,현자의마을,20150615.0,"22,000","19,800",역사
초판본 데미안,9791164453115.0,"헤르만 헤세 지음, 이순학 옮김",더스토리,20200820.0,"2,200","1,980",소설/시/희곡
타이탄의 도구들 (블랙 에디션),9791158510619.0,"팀 페리스 지음, 박선령.정지현 옮김",토네이도,20220622.0,"18,000","16,200",자기계발
JLPT 일본어능력시험 한권으로 끝내기 N4,9788927712442.0,이치우.이한나 지음,다락원,20210901.0,"27,000","24,300",외국어
불편한 편의점 (벚꽃 에디션),9791161571188.0,김호연 지음,나무옆의자,20210420.0,"14,000","12,600",소설/시/희곡
ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),9788917238549.0,ETS 엮음,(주)YBM(와이비엠),20211213.0,"17,800","16,020",외국어
국가는 왜 실패하는가 (리커버),9788952766984.0,"대런 애쓰모글루 외 지음, 최완규 옮김, 장경덕 감수",시공사,20120927.0,"28,000","25,200",사회과학
백년 허리 1 : 진단편,9791197437304.0,정선근 지음,언탱글링,20210415.0,"18,500","16,650",건강/취미
"마흔에 읽는 쇼펜하우어 (리커버, 200쇄 기념 확장판)",9791192300818.0,강용수 지음,유노북스,20230907.0,"17,000","15,300",인문학
내가 되는 꿈 (리커버),9791190885621.0,최진영 지음,현대문학,20210225.0,"15,000","13,500",소설/시/희곡
설국,9788937460616.0,"가와바타 야스나리 지음, 유숙자 옮김",민음사,20020128.0,"8,000","7,200",소설/시/희곡
경제금융용어 700선,9791155383933.0,한국은행 편집부 엮음,한국은행,20200818.0,"8,000","8,000",경제경영
노인과 바다,9788937462788.0,"어니스트 헤밍웨이 지음, 김욱동 옮김",민음사,20120102.0,"8,000","7,200",소설/시/희곡
거래의 기술,9788952234087.0,"도널드 트럼프 지음, 이재호 옮김",살림,20160525.0,"22,000","19,800",경제경영
오늘은 아무래도 덮밥,9791188601387.0,"이마이 료 지음, 이진숙 옮김",참돌,20200612.0,"4,400","3,960",요리/살림
순례 주택,9788949123493.0,유은실 지음,비룡소,20210311.0,"15,000","13,500",청소년
달과 6펜스,9788937460388.0,"서머셋 몸 지음, 송무 옮김",민음사,20000620.0,"10,000","9,000",소설/시/희곡
데일 카네기 자기관리론,9791191280333.0,"데일 카네기 지음, 임상훈 옮김",현대지성,20210113.0,"11,500","10,350",자기계발
ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝),9788917238532.0,ETS 엮음,(주)YBM(와이비엠),20211213.0,"17,800","16,020",외국어
다운튼 애비 애프터눈 티 쿡북,9791191212235.0,"다운튼 애비 지음, 윤현정 옮김",아르누보,20230528.0,"4,400","3,960",요리/살림
Do it! 점프 투 파이썬,9791163034735.0,박응용 지음,이지스퍼블리싱,20230615.0,"22,000","19,800",컴퓨터/모바일
초역 비트겐슈타인의 말,9788971904770.0,"루트비히 비트겐슈타인 지음, 시라토리 하루히코 엮음, 박재현 옮김",인벤션,20150318.0,"16,000","14,400",인문학
고발,9791197903007.0,반디 지음,리베르타스,20221101.0,"15,000","13,500",소설/시/희곡
세계 끝의 버섯,9788965642855.0,"애나 로웬하웁트 칭 지음, 노고운 옮김",현실문화,20230830.0,"35,000","31,500",인문학
만화로 보는 3분 철학 2 : 서양 중세·근대 철학편,9791168270015.0,김재훈.서정욱 지음,카시오페아,20211027.0,"16,800","15,120",인문학
권력과 진보,9791193166147.0,"대런 애쓰모글루.사이먼 존슨 지음, 김승진 옮김",생각의힘,20230630.0,"32,000","28,800",사회과학
왜 나는 너를 사랑하는가 (70만 부 기념 리커버),9788986836837.0,"알랭 드 보통 지음, 정영목 옮김",청미래,20221110.0,"14,000","12,600",소설/시/희곡
미움받을 용기 (200만 부 기념 스페셜 에디션),9791168340770.0,"기시미 이치로 외 지음, 전경아 옮김, 김정운 감수",인플루엔셜(주),20221228.0,"15,900","14,310",인문학
그대의 차가운 손,9788932013046.0,한강 지음,문학과지성사,20020118.0,"14,000","12,600",소설/시/희곡
똑게육아,9791197672125.0,로리(김준희) 지음,북로스트,20220223.0,"22,200","19,980",좋은부모
해커스 토플 리딩 (Hackers TOEFL Reading),9788965425991.0,데이빗 조 (David Cho) 지음,해커스어학연구소(Hackers),20230831.0,"26,000","23,400",외국어
리틀 라이프 2,9788952776389.0,"한야 야나기하라 지음, 권진아 옮김",시공사,20160616.0,"14,800","13,320",소설/시/희곡
종의 기원,9788956609959.0,정유정 지음,은행나무,20160514.0,"16,800","15,120",소설/시/희곡
내가 틀릴 수도 있습니다,9791130689890.0,"비욘 나티코 린데블라드 지음, 토마스 산체스 그림, 박미경 옮김",다산초당,20220418.0,"18,000","16,200",인문학
5번 레인,9788954674638.0,"은소홀 지음, 노인경 그림",문학동네,20200914.0,"12,500","11,250",어린이
밝은 밤,9788954681179.0,최은영 지음,문학동네,20210727.0,"15,500","13,950",소설/시/희곡
파쇄,9791168127012.0,구병모 지음,위즈덤하우스,20230308.0,"13,000","11,700",소설/시/희곡
JLPT 일본어능력시험 한권으로 끝내기 N1,9788927712411.0,이치우.기타지마 치즈코 지음,다락원,20210818.0,"27,000","24,300",외국어
용의자 X의 헌신,9788990982704.0,"히가시노 게이고 지음, 양억관 옮김",재인,20170830.0,"18,800","16,920",소설/시/희곡
문과 남자의 과학 공부,9791192836188.0,유시민 지음,돌베개,20230623.0,"17,500","15,750",인문학
예루살렘의 아이히만,9788935656615.0,"한나 아렌트 지음, 김선욱 옮김",한길사,20061010.0,"25,000","22,500",사회과학
만화로 보는 3분 철학 3 : 서양 현대 철학편,9791168270343.0,김재훈.서정욱 지음,카시오페아,20220509.0,"16,800","15,120",인문학
군주론 (무삭제 완역본),9791166817878.0,"니콜로 마키아벨리 지음, 김운찬 옮김",현대지성,20210726.0,"7,700","6,930",사회과학
일본어 잘하고 싶을 땐 다락원 독학 첫걸음,9788927712183.0,정의상 지음,다락원,20190304.0,"15,000","13,500",외국어
고래,9788982819278.0,천명관 지음,문학동네,20041224.0,"15,000","13,500",소설/시/희곡
체리새우 : 비밀글입니다,9788954654753.0,황영미 지음,문학동네,20190128.0,"11,500","10,350",청소년
